county,unemployment,med_income
06101,6.6,"63,246"
06103,4.8,"53,654"
06105,4.6,"45,508"
06107,8.2,"57,398"
06109,4.5,"61,396"
06111,3.7,"95,819"
06113,4.0,"76,247"
06115,5.5,"60,764"
08000,3.0,"82,228"
08001,3.4,"80,831"
08003,3.6,"51,009"
08005,3.1,"84,308"
08007,3.2,"68,025"
08009,1.7,"44,257"
08011,3.6,"37,185"
08013,2.5,"90,327"
08014,2.6,"106,413"
08015,2.7,"65,987"
08017,1.9,"58,544"
08019,2.9,"78,312"
08021,3.2,"45,931"
08023,4.1,"35,416"
08025,3.8,"38,049"
08027,2.9,"63,505"
08029,3.6,"52,403"
08031,3.1,"81,262"
08033,3.0,"55,157"
08035,2.5,"129,839"
08037,2.6,"94,928"
08039,2.4,"114,853"
08041,3.3,"79,094"
08043,4.7,"51,732"
08045,3.0,"78,940"
08047,2.7,"82,370"
08049,2.7,"78,779"
08051,2.5,"63,872"
08053,2.5,"66,213"
08055,6.1,"46,798"
08057,2.1,"55,535"
08059,2.8,"94,401"
08061,1.8,"61,430"
08063,1.9,"56,272"
08065,2.6,"64,416"
08067,3.0,"74,774"
08069,2.7,"78,681"
08071,4.6,"42,708"
08073,2.9,"51,975"
08075,2.8,"53,234"
08077,3.4,"63,531"
08079,2.8,"62,213"
08081,3.2,"64,133"
08083,3.8,"53,337"
08085,3.4,"56,686"
08087,3.2,"61,849"
08089,4.2,"45,658"
08091,3.1,"80,686"
08093,2.6,"84,361"
08095,2.1,"56,577"
08097,3.3,"96,316"
08099,2.8,"48,337"
08101,4.4,"56,311"
08103,3.7,"65,334"
08105,4.2,"52,353"
08107,2.5,"93,776"
08109,3.4,"43,366"
08111,2.6,"54,146"
08113,3.1,"79,742"
08115,2.6,"45,645"
08117,2.2,"90,297"
08119,3.0,"76,715"
08121,2.3,"57,522"
08123,3.2,"84,826"
08125,2.0,"56,161"
09000,4.2,"83,628"
09001,4.1,"100,703"
09003,4.3,"79,958"
09005,3.9,"84,689"
09007,3.6,"94,735"
09009,4.3,"75,094"
09011,4.2,"78,552"
09013,3.8,"86,430"
09015,4.3,"71,581"
10000,4.5,"71,636"
10001,5.2,"64,670"
10003,4.4,"74,088"
10005,4.4,"70,500"
11000,4.7,"91,072"
11001,4.7,"91,072"
12000,2.9,"63,054"
12001,2.8,"56,006"
12003,2.8,"60,994"
12005,2.7,"60,106"
12007,3.1,"54,911"
12009,2.8,"65,280"
12011,2.9,"65,536"
12013,3.3,"43,210"
12015,3.4,"59,547"
12017,4.1,"48,237"
12019,2.6,"76,711"
12021,2.8,"75,799"
12023,3.2,"52,035"
12027,3.3,"43,256"
12029,3.3,"39,029"
12031,3.0,"60,121"
12033,3.0,"54,492"
12035,3.4,"65,783"
12037,2.8,"44,684"
12039,3.8,"45,678"
12041,3.0,"52,168"
12043,3.2,"46,389"
12045,2.7,"51,684"
12047,4.0,"39,522"
12049,3.9,"45,964"
12051,4.7,"48,841"
12053,3.6,"56,443"
12055,4.2,"47,820"
12057,2.8,"65,818"
12059,3.1,"44,139"
12061,3.4,"61,351"
