county,total,white,black,native,asian,other
13165,8704,57.273,34.881,0.023,0.023,7.801
13167,9225,62.19,32.856,0,0.206,4.748
13169,28382,71.302,24.625,0,0.55,3.523
13171,18676,67.054,26.901,0,0.498,5.547
13173,9964,67.774,23.163,0.211,1.325,7.527
13175,49407,58.451,37.444,0.245,0.963,2.896
13177,32968,69.207,23.735,0.012,2.69,4.356
13179,65550,41.137,41.117,0.542,1.876,15.329
13181,7726,68.625,28.152,0,0.078,3.145
13183,16804,58.206,23.602,0.226,0.774,17.192
13185,118257,53.832,36.904,0.534,1.955,6.775
13187,33405,92.148,1.317,0.41,0.928,5.197
13189,21715,54.635,41.16,0,0.157,4.048
13191,11183,63.167,31.727,0.036,1.404,3.666
13193,12099,34.011,60.145,0.091,0.785,4.967
13195,30378,82.046,8.76,0.194,1.58,7.42
13197,7508,59.59,29.755,0.653,1.438,8.564
13199,20679,57.653,38.367,0.111,0.788,3.08
13201,5923,66.301,27.317,1.148,0.675,4.559
13205,21634,47.999,44.906,1.16,0.069,5.866
13207,28287,73.698,21.614,0.148,1.043,3.496
13209,8687,67.434,23.967,0.276,0.426,7.897
13211,20171,72.892,22.165,0,0.159,4.784
13213,40063,92.692,0.467,0.749,0.809,5.284
13215,204572,40.574,46.596,0.116,2.581,10.133
13217,113298,44.863,46.843,0.081,1.429,6.784
13219,41978,84.773,3.418,0.522,4.009,7.278
13221,14974,77.668,16.716,0,0.868,4.748
13223,169898,68.855,20.991,0.198,1.108,8.848
13225,28054,49.159,43.669,0.606,0.399,6.167
13227,33439,94.106,0.526,0.194,0.308,4.866
13229,19822,85.531,9.732,0.136,0,4.601
13231,19145,87.422,8.613,0.01,0.569,3.385
13233,43019,76.831,12.248,0.035,0.672,10.214
13235,9887,57.925,36.836,0,1.254,3.985
13237,22206,68.153,25.466,0,0.482,5.899
13239,2180,43.716,52.569,0,0,3.716
13241,16915,89.69,1.401,0.071,1.035,7.804
13243,6365,30.793,64.666,0,0.173,4.368
13245,206153,34.448,55.898,0.122,1.775,7.757
